start,end,duration_min
2017-05-20 00:55:00,2017-05-20 10:35:00,580.0
2017-05-21 00:30:00,2017-05-21 13:50:00,800.0
2017-05-21 14:05:00,2017-05-21 15:00:00,55.0
2017-05-21 16:55:00,2017-05-21 17:35:00,40.0
2017-05-21 18:50:00,2017-05-21 19:55:00,65.0
2017-05-21 20:05:00,2017-05-22 00:20:00,255.0
2017-05-22 00:40:00,2017-05-22 04:45:00,245.0
2017-05-22 06:10:00,2017-05-22 12:35:00,385.0
2017-05-22 19:00:00,2017-05-23 10:10:00,910.0
2017-05-23 11:00:00,2017-05-23 11:50:00,50.0
2017-05-23 22:55:00,2017-05-23 23:35:00,40.0
2017-05-24 01:05:00,2017-05-24 09:25:00,500.0
2017-05-24 10:25:00,2017-05-24 11:10:00,45.0
2017-05-24 20:50:00,2017-05-24 21:20:00,30.0
2017-05-24 22:05:00,2017-05-25 02:00:00,235.0
2017-05-25 04:05:00,2017-05-25 09:55:00,350.0
2017-05-25 22:40:00,2017-05-26 10:35:00,715.0
2017-05-27 02:50:00,2017-05-27 03:30:00,40.0
2017-05-27 03:55:00,2017-05-27 08:55:00,300.0
2017-05-28 00:10:00,2017-05-28 01:10:00,60.0
2017-05-28 08:15:00,2017-05-28 09:05:00,50.0
2017-05-28 18:30:00,2017-05-28 19:50:00,80.0
2017-05-28 20:05:00,2017-05-28 20:45:00,40.0
2017-05-28 23:10:00,2017-05-29 00:05:00,55.0
2017-05-29 02:30:00,2017-05-29 03:20:00,50.0
2017-05-29 04:40:00,2017-05-29 12:10:00,450.0
2017-05-29 12:30:00,2017-05-29 14:10:00,100.0
2017-05-29 14:40:00,2017-05-29 15:10:00,30.0
2017-05-29 17:50:00,2017-05-29 18:40:00,50.0
2017-05-29 19:05:00,2017-05-29 20:10:00,65.0
2017-09-20 02:05:00,2017-09-20 22:55:00,1250.0
2017-09-21 01:40:00,2017-09-23 11:20:00,3460.0
2017-09-23 18:05:00,2017-09-24 12:00:00,1075.0
2017-09-24 17:40:00,2017-09-24 18:10:00,30.0
2017-09-24 19:15:00,2017-09-25 13:10:00,1075.0
2017-09-25 13:35:00,2017-09-25 14:30:00,55.0
2017-09-25 15:35:00,2017-09-25 16:30:00,55.0
2017-09-25 17:20:00,2017-09-26 14:20:00,1260.0
2017-09-26 16:45:00,2017-09-26 22:10:00,325.0
2017-09-26 22:50:00,2017-09-27 13:50:00,900.0
2017-09-27 14:30:00,2017-09-27 15:50:00,80.0
2017-09-27 16:10:00,2017-09-27 18:05:00,115.0
2017-09-27 20:00:00,2017-09-27 20:35:00,35.0
2017-09-27 23:25:00,2017-09-28 13:15:00,830.0
2017-09-28 13:40:00,2017-09-28 14:30:00,50.0
